Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
88,Alisson,br BRA,GK,Liverpool,eng Premier League,31.0,1992.0,28,28,2508,27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.02,88,br BRA,GK,eng Premier League,31.0,1992.0,27.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,88,br BRA,GK,eng Premier League,31.0,1992.0,27.9,794,959,82.8,17555,11360,0,0.6,0.2,-0.6,1,12,0,0,1,88,br BRA,GK,eng Premier League,31.0,1992.0,27.9,959,836,121,41,1,1,0,0,0,0,0,0,794,2,1,88,br BRA,GK,eng Premier League,31.0,1992.0,27.9,7,0.25,7,0,0,0,0,0,1,0.04,88,br BRA,GK,eng Premier League,31.0,1992.0,27.9,1,0,1,0,0,1,0.0,1,0,0,0,0,1,13,1,88,br BRA,GK,eng Premier League,31.0,1992.0,27.9,1011,742,991,20,0,0,1011,1,1,100.0,0,0.0,658,2625,1586,0,0,0,1,0,618,0,113,br BRA,GK,eng Premier League,31.0,1992.0,28,2508,90,73.3,27.9,28,90.0,27,0,,0,2.18,64,29,35,1.26,0.27,62.2,27.4,34.9,1.25,88,br BRA,GK,eng Premier League,31.0,1992.0,27.9,0,0,0,0,2,0,0,0,0,0,0,0,47,7,0,100.0,4.0,br BRA,GK,eng Premier League,31.0,1992.0,28.0,28.0,2508.0,27.9,29.0,1.04,100.0,73.0,72.0,18.0,7.0,3.0,9.0,32.1,1.0,1.0,0.0,0.0,4.0,br BRA,GK,eng Premier League,31.0,1992.0,27.9,29.0,1.0,0.0,2.0,2.0,30.5,0.3,3.5,0.13,68.0,203.0,33.5,877.0,128.0,19.7,26.6,255.0,11.0,4.3,49.0,1.76,16.0
148,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31.0,1993.0,26,25,2260,25.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,148,fr FRA,GK,eng Premier League,31.0,1993.0,25.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,148,fr FRA,GK,eng Premier League,31.0,1993.0,25.1,688,989,69.6,18224,12284,0,0.0,0.0,0.0,0,11,0,0,1,148,fr FRA,GK,eng Premier League,31.0,1993.0,25.1,989,716,268,72,0,3,0,0,0,0,0,0,688,5,3,148,fr FRA,GK,eng Premier League,31.0,1993.0,25.1,3,0.12,2,1,0,0,0,0,0,0.0,148,fr FRA,GK,eng Premier League,31.0,1993.0,25.1,2,2,2,0,0,3,66.7,1,0,0,0,0,2,15,3,148,fr FRA,GK,eng Premier League,31.0,1993.0,25.1,1049,833,1038,12,0,0,1049,0,0,,0,,601,2480,1348,0,0,0,0,0,555,0,186,fr FRA,GK,eng Premier League,31.0,1993.0,26,2260,87,66.1,25.1,25,88.0,24,1,55.0,8,0.96,29,41,-12,-0.48,-0.17,30.1,37.3,-7.2,-0.29,148,fr FRA,GK,eng Premier League,31.0,1993.0,25.1,0,0,0,0,0,0,0,0,2,0,0,1,29,2,0,100.0,5.0,fr FRA,GK,eng Premier League,31.0,1993.0,26.0,25.0,2260.0,25.1,41.0,1.63,115.0,77.0,64.3,5.0,7.0,13.0,5.0,20.0,0.0,0.0,0.0,0.0,5.0,fr FRA,GK,eng Premier League,31.0,1993.0,25.1,41.0,0.0,0.0,5.0,3.0,35.4,0.31,-2.6,-0.1,135.0,384.0,35.2,788.0,119.0,34.4,32.1,394.0,15.0,3.8,30.0,1.19,15.0
161,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29.0,1994.0,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.0,0.0,161,es ESP,GK,eng Premier League,29.0,1994.0,31.0,0,1,0,0.0,0.03,0.0,0.0,,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,161,es ESP,GK,eng Premier League,29.0,1994.0,31.0,752,1027,73.2,20531,13943,0,0.0,0.0,0.0,1,10,0,0,2,161,es ESP,GK,eng Premier League,29.0,1994.0,31.0,1027,728,295,103,0,0,0,0,0,0,0,0,752,4,2,161,es ESP,GK,eng Premier League,29.0,1994.0,31.0,4,0.13,2,2,0,0,0,0,0,0.0,161,es ESP,GK,eng Premier League,29.0,1994.0,31.0,1,0,1,0,0,2,0.0,2,2,0,2,0,1,15,3,161,es ESP,GK,eng Premier League,29.0,1994.0,31.0,1087,800,1057,29,1,1,1087,1,1,100.0,0,0.0,621,3129,1797,0,0,0,0,0,486,0,200,es ESP,GK,eng Premier League,29.0,1994.0,31,2790,90,81.6,31.0,31,90.0,31,0,,1,1.48,50,39,11,0.35,0.21,53.6,38.3,15.3,0.49,161,es ESP,GK,eng Premier League,29.0,1994.0,31.0,3,0,0,2,6,0,0,0,0,0,2,0,56,7,1,87.5,6.0,es ESP,GK,eng Premier League,29.0,1994.0,31.0,31.0,2790.0,31.0,39.0,1.26,134.0,95.0,73.9,13.0,7.0,11.0,8.0,25.8,4.0,4.0,0.0,0.0,6.0,es ESP,GK,eng Premier League,29.0,1994.0,31.0,39.0,4.0,0.0,4.0,0.0,41.0,0.28,2.0,0.07,132.0,365.0,36.2,831.0,122.0,33.2,32.9,367.0,22.0,6.0,54.0,1.74,16.0
179,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25.0,1999.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,179,eng ENG,GK,eng Premier League,25.0,1999.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,179,eng ENG,GK,eng Premier League,25.0,1999.0,1.0,22,32,68.8,526,386,0,0.0,0.0,0.0,0,0,0,0,0,179,eng ENG,GK,eng Premier League,25.0,1999.0,1.0,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0,179,eng ENG,GK,eng Premier League,25.0,1999.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,179,eng ENG,GK,eng Premier League,25.0,1999.0,1.0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,179,eng ENG,GK,eng Premier League,25.0,1999.0,1.0,36,30,36,0,0,0,36,0,0,,0,,22,104,46,0,0,0,0,0,16,0,223,eng ENG,GK,eng Premier League,25.0,1999.0,1,90,90,2.6,1.0,1,90.0,1,0,,12,0.0,1,2,-1,-1.0,-1.0,0.9,2.5,-1.6,-1.57,179,eng ENG,GK,eng Premier League,25.0,1999.0,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0,9.0,eng ENG,GK,eng Premier League,25.0,1999.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,eng ENG,GK,eng Premier League,25.0,1999.0,1.0,2.0,0.0,0.0,0.0,0.0,2.2,0.55,0.2,0.2,3.0,11.0,27.3,26.0,5.0,38.5,32.3,15.0,5.0,33.3,2.0,2.0,12.4
267,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,26.0,1998.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,267,tr TUR,GK,eng Premier League,26.0,1998.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,267,tr TUR,GK,eng Premier League,26.0,1998.0,4.0,92,152,60.5,2444,1386,0,0.0,0.0,0.0,0,1,0,0,0,267,tr TUR,GK,eng Premier League,26.0,1998.0,4.0,152,121,31,7,0,0,0,0,0,0,0,0,92,0,2,267,tr TUR,GK,eng Premier League,26.0,1998.0,4.0,0,0.0,0,0,0,0,0,0,0,0.0,267,tr TUR,GK,eng Premier League,26.0,1998.0,4.0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1,267,tr TUR,GK,eng Premier League,26.0,1998.0,4.0,168,145,166,2,0,0,168,0,0,,0,,110,432,196,0,0,0,0,0,103,0,326,tr TUR,GK,eng Premier League,26.0,1998.0,4,360,90,10.5,4.0,4,90.0,4,0,,27,0.75,6,10,-4,-1.0,-0.82,7.3,7.0,0.3,0.06,267,tr TUR,GK,eng Premier League,26.0,1998.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,50.0,12.0,tr TUR,GK,eng Premier League,26.0,1998.0,4.0,4.0,360.0,4.0,10.0,2.5,17.0,8.0,41.2,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,12.0,tr TUR,GK,eng Premier League,26.0,1998.0,4.0,10.0,0.0,0.0,0.0,1.0,10.1,0.59,1.1,0.27,13.0,62.0,21.0,128.0,12.0,34.4,34.1,56.0,4.0,7.1,7.0,1.75,12.0
305,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,31.0,1993.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,305,eng ENG,GK,eng Premier League,31.0,1993.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,305,eng ENG,GK,eng Premier League,31.0,1993.0,2.0,49,65,75.4,1252,851,0,0.0,0.0,0.0,0,1,0,0,0,305,eng ENG,GK,eng Premier League,31.0,1993.0,2.0,65,45,20,7,0,0,0,0,0,0,0,0,49,0,0,305,eng ENG,GK,eng Premier League,31.0,1993.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,305,eng ENG,GK,eng Premier League,31.0,1993.0,2.0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,305,eng ENG,GK,eng Premier League,31.0,1993.0,2.0,69,50,68,1,0,0,69,0,0,,0,,39,218,134,0,0,0,0,0,26,0,373,eng ENG,GK,eng Premier League,31.0,1993.0,2,180,90,5.3,2.0,2,90.0,2,0,,16,1.5,3,4,-1,-0.5,-0.11,1.6,3.0,-1.4,-0.69,305,eng ENG,GK,eng Premier League,31.0,1993.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100.0,13.0,eng ENG,GK,eng Premier League,31.0,1993.0,2.0,2.0,180.0,2.0,4.0,2.0,12.0,8.0,66.7,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,13.0,eng ENG,GK,eng Premier League,31.0,1993.0,2.0,4.0,0.0,1.0,0.0,0.0,3.9,0.33,-0.1,-0.04,7.0,21.0,33.3,52.0,6.0,25.0,28.1,25.0,0.0,0.0,3.0,1.5,16.4
792,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,35.0,1989.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,792,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,792,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,265,333,79.6,5932,3082,0,0.0,0.0,0.0,0,0,0,0,0,792,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,333,246,86,27,0,1,0,0,0,0,0,0,265,1,0,792,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,0,0.0,0,0,0,0,0,0,0,0.0,792,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,792,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,350,262,337,14,0,0,350,0,0,,0,,202,1043,643,0,0,0,0,0,175,0,979,sk SVK,GK,eng Premier League,35.0,1989.0,10,900,90,26.3,10.0,10,90.0,10,0,,24,2.1,23,12,11,1.1,0.74,20.2,10.8,9.4,0.94,792,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,43.0,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,10.0,900.0,10.0,12.0,1.2,41.0,29.0,70.7,7.0,0.0,3.0,5.0,50.0,0.0,0.0,0.0,0.0,43.0,sk SVK,GK,eng Premier League,35.0,1989.0,10.0,12.0,0.0,0.0,1.0,0.0,12.9,0.32,0.9,0.09,18.0,80.0,22.5,273.0,54.0,15.8,25.2,127.0,10.0,7.9,11.0,1.1,15.3
811,Ederson,br BRA,GK,Manchester City,eng Premier League,30.0,1993.0,26,26,2320,25.8,0,4,4,0,0,0,4,0,0.0,0.0,1.5,1.5,0,2,0,0.16,0.06,811,br BRA,GK,eng Premier League,30.0,1993.0,25.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,811,br BRA,GK,eng Premier League,30.0,1993.0,25.8,811,923,87.9,19885,13212,4,1.5,0.2,2.5,4,21,1,0,2,811,br BRA,GK,eng Premier League,30.0,1993.0,25.8,923,817,106,29,1,2,0,0,0,0,0,0,811,0,1,811,br BRA,GK,eng Premier League,30.0,1993.0,25.8,6,0.23,6,0,0,0,0,0,4,0.16,811,br BRA,GK,eng Premier League,30.0,1993.0,25.8,0,0,0,0,0,2,0.0,2,0,0,0,1,1,11,4,811,br BRA,GK,eng Premier League,30.0,1993.0,25.8,975,689,962,13,0,0,975,0,0,,0,,654,3060,1981,0,0,0,1,0,616,0,1001,br BRA,GK,eng Premier League,30.0,1993.0,26,2320,89,67.8,25.8,26,89.0,25,0,,4,2.0,49,26,23,0.89,0.48,49.0,28.7,20.3,0.79,811,br BRA,GK,eng Premier League,30.0,1993.0,25.8,4,0,0,1,0,0,0,1,0,0,1,0,42,4,1,80.0,44.0,br BRA,GK,eng Premier League,30.0,1993.0,26.0,26.0,2320.0,25.8,26.0,1.01,78.0,53.0,69.2,16.0,4.0,6.0,10.0,38.5,2.0,2.0,0.0,0.0,44.0,br BRA,GK,eng Premier League,30.0,1993.0,25.8,26.0,2.0,0.0,3.0,1.0,30.0,0.37,5.0,0.19,72.0,165.0,43.6,846.0,108.0,17.4,27.9,224.0,13.0,5.8,49.0,1.9,17.5
869,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39.0,1985.0,14,13,1160,12.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,869,pl POL,GK,eng Premier League,39.0,1985.0,12.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,869,pl POL,GK,eng Premier League,39.0,1985.0,12.9,332,495,67.1,9586,6808,0,0.0,0.0,0.0,0,5,0,0,0,869,pl POL,GK,eng Premier League,39.0,1985.0,12.9,495,351,143,43,0,0,0,0,0,0,0,0,332,1,0,869,pl POL,GK,eng Premier League,39.0,1985.0,12.9,3,0.23,2,1,0,0,0,0,0,0.0,869,pl POL,GK,eng Premier League,39.0,1985.0,12.9,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,869,pl POL,GK,eng Premier League,39.0,1985.0,12.9,530,414,525,5,0,0,530,3,3,100.0,0,0.0,285,1485,890,0,0,0,0,0,248,0,1069,pl POL,GK,eng Premier League,39.0,1985.0,14,1160,83,33.9,12.9,13,86.0,12,1,45.0,21,1.5,17,21,-4,-0.31,0.17,16.9,22.4,-5.5,-0.43,869,pl POL,GK,eng Premier League,39.0,1985.0,12.9,2,0,0,2,1,0,0,0,0,0,2,0,5,3,1,75.0,45.0,pl POL,GK,eng Premier League,39.0,1985.0,14.0,13.0,1160.0,12.9,21.0,1.63,71.0,50.0,74.6,6.0,3.0,4.0,2.0,15.4,3.0,3.0,0.0,0.0,45.0,pl POL,GK,eng Premier League,39.0,1985.0,12.9,21.0,3.0,1.0,3.0,0.0,22.6,0.29,1.6,0.12,77.0,226.0,34.1,394.0,55.0,41.9,35.5,220.0,10.0,4.5,12.0,0.93,13.1
