Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
907,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31.0,1993.0,37,37,3275,36.4,0,2,2,0,0,0,1,0,0.0,0.0,0.5,0.5,0,0,0,0.05,0.01,907,nl NED,GK,eng Premier League,31.0,1993.0,36.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,907,nl NED,GK,eng Premier League,31.0,1993.0,36.4,1254,1717,73.0,37000,25308,2,0.5,0.1,1.5,3,50,2,0,0,907,nl NED,GK,eng Premier League,31.0,1993.0,36.4,1717,1367,343,131,0,5,0,0,0,0,0,0,1254,7,0,907,nl NED,GK,eng Premier League,31.0,1993.0,36.4,10,0.27,6,4,0,0,0,0,2,0.05,907,nl NED,GK,eng Premier League,31.0,1993.0,36.4,4,4,4,0,0,9,33.3,6,2,0,2,0,4,26,4,907,nl NED,GK,eng Premier League,31.0,1993.0,36.4,1824,1436,1777,52,0,0,1824,1,1,100.0,0,0.0,1122,5725,3253,0,0,0,3,0,1015,0,1122,nl NED,GK,eng Premier League,31.0,1993.0,37,3275,89,95.8,36.4,37,89.0,36,0,,0,1.51,66,55,11,0.3,1.54,55.9,54.0,1.9,0.05,907,nl NED,GK,eng Premier League,31.0,1993.0,36.4,1,0,0,0,3,0,0,0,4,0,0,0,39,4,0,100.0,51.0,nl NED,GK,eng Premier League,31.0,1993.0,37.0,37.0,3275.0,36.4,55.0,1.51,203.0,150.0,73.4,16.0,8.0,13.0,7.0,18.9,1.0,1.0,0.0,0.0,51.0,nl NED,GK,eng Premier League,31.0,1993.0,36.4,55.0,1.0,0.0,2.0,2.0,52.7,0.26,-0.3,-0.01,249.0,659.0,37.8,1498.0,122.0,33.7,34.4,581.0,46.0,7.9,34.0,0.93,11.5
924,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,36.0,1988.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,924,eng ENG,GK,eng Premier League,36.0,1988.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,924,eng ENG,GK,eng Premier League,36.0,1988.0,7.0,168,198,84.8,3349,2105,0,0.0,0.0,0.0,0,1,0,0,0,924,eng ENG,GK,eng Premier League,36.0,1988.0,7.0,198,125,72,16,0,1,0,0,0,0,0,0,168,1,0,924,eng ENG,GK,eng Premier League,36.0,1988.0,7.0,0,0.0,0,0,0,0,0,0,0,0.0,924,eng ENG,GK,eng Premier League,36.0,1988.0,7.0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3,924,eng ENG,GK,eng Premier League,36.0,1988.0,7.0,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0,1142,eng ENG,GK,eng Premier League,36.0,1988.0,7,630,90,18.4,7.0,7,90.0,7,0,,11,0.71,14,15,-1,-0.14,-0.14,11.1,16.0,-4.9,-0.7,924,eng ENG,GK,eng Premier League,36.0,1988.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,53.0,eng ENG,GK,eng Premier League,36.0,1988.0,7.0,7.0,630.0,7.0,15.0,2.14,42.0,27.0,69.0,1.0,2.0,4.0,1.0,14.3,2.0,2.0,0.0,0.0,53.0,eng ENG,GK,eng Premier League,36.0,1988.0,7.0,15.0,2.0,0.0,1.0,0.0,16.5,0.36,1.5,0.21,11.0,31.0,35.5,141.0,30.0,21.3,27.2,81.0,4.0,4.9,3.0,0.43,11.1
1139,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,27.0,1997.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.0,1139,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,0,1,0,0.0,0.03,0.0,0.0,,14.9,0,0,0,0.0,0.0,0.01,0.0,0.0,1139,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,745,1216,61.3,20401,13551,0,0.2,0.1,-0.2,3,23,1,0,0,1139,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,1216,842,373,100,0,0,0,0,0,0,0,0,745,1,1,1139,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,4,0.11,3,1,0,0,0,0,0,0.0,1139,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,2,1,2,0,0,6,33.3,4,0,0,0,0,2,22,0,1139,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,1308,1065,1303,4,1,1,1308,0,0,,0,,751,4483,2136,0,0,0,2,0,580,0,1412,eng ENG,GK,eng Premier League,27.0,1997.0,38,3420,90,100.0,38.0,38,90.0,38,0,,0,1.39,51,51,0,0.0,,60.4,49.1,11.3,0.3,1139,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,3,0,0,0,2,0,0,0,1,0,0,0,26,11,1,91.7,66.0,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,38.0,3420.0,38.0,51.0,1.34,150.0,101.0,66.7,13.0,14.0,11.0,11.0,28.9,2.0,1.0,1.0,0.0,66.0,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,51.0,1.0,1.0,5.0,3.0,51.2,0.35,3.2,0.08,157.0,600.0,26.2,942.0,115.0,47.5,38.5,559.0,30.0,5.4,40.0,1.05,14.3
1147,Mads Hermansen,dk DEN,GK,Leicester City,eng Premier League,24.0,2000.0,27,27,2385,26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,1147,dk DEN,GK,eng Premier League,24.0,2000.0,26.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1147,dk DEN,GK,eng Premier League,24.0,2000.0,26.5,654,1073,61.0,17066,12387,0,0.0,0.0,0.0,0,20,1,0,1,1147,dk DEN,GK,eng Premier League,24.0,2000.0,26.5,1073,840,229,86,0,2,0,0,0,0,0,0,654,4,1,1147,dk DEN,GK,eng Premier League,24.0,2000.0,26.5,3,0.11,3,0,0,0,0,0,0,0.0,1147,dk DEN,GK,eng Premier League,24.0,2000.0,26.5,1,1,1,0,0,1,100.0,0,1,0,1,0,1,13,4,1147,dk DEN,GK,eng Premier League,24.0,2000.0,26.5,1147,831,1106,43,0,0,1147,1,1,100.0,0,0.0,734,3625,1904,0,0,0,1,0,625,0,1423,dk DEN,GK,eng Premier League,24.0,2000.0,27,2385,88,69.7,26.5,27,88.0,26,0,,0,0.56,23,58,-35,-1.32,-0.28,22.4,54.1,-31.7,-1.2,1147,dk DEN,GK,eng Premier League,24.0,2000.0,26.5,1,0,0,0,3,0,0,0,1,0,0,0,17,4,1,80.0,67.0,dk DEN,GK,eng Premier League,24.0,2000.0,27.0,27.0,2385.0,26.5,58.0,2.19,155.0,99.0,64.5,3.0,6.0,18.0,1.0,3.7,4.0,3.0,1.0,0.0,67.0,dk DEN,GK,eng Premier League,24.0,2000.0,26.5,58.0,3.0,0.0,3.0,3.0,56.4,0.35,1.4,0.05,114.0,471.0,24.2,926.0,133.0,39.2,34.6,419.0,26.0,6.2,26.0,0.98,13.1
1246,Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23.0,2001.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1246,cz CZE,GK,eng Premier League,23.0,2001.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1246,cz CZE,GK,eng Premier League,23.0,2001.0,0.1,6,8,75.0,302,273,0,0.0,0.0,0.0,0,2,0,0,0,1246,cz CZE,GK,eng Premier League,23.0,2001.0,0.1,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0,1246,cz CZE,GK,eng Premier League,23.0,2001.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,1246,cz CZE,GK,eng Premier League,23.0,2001.0,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1246,cz CZE,GK,eng Premier League,23.0,2001.0,0.1,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0,1542,cz CZE,GK,eng Premier League,23.0,2001.0,1,12,12,0.4,0.1,0,,0,1,12.0,11,3.0,0,0,0,0.0,-1.19,0.1,0.1,0.0,-0.16,1246,cz CZE,GK,eng Premier League,23.0,2001.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,73.0,cz CZE,GK,eng Premier League,23.0,2001.0,1.0,0.0,12.0,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,73.0,cz CZE,GK,eng Premier League,23.0,2001.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.25,5.0,7.0,71.4,7.0,2.0,85.7,50.9,2.0,0.0,0.0,0.0,0.0,11.0
1272,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,31.0,1993.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1272,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1272,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,184,278,66.2,5548,4270,0,0.0,0.0,0.0,1,6,0,0,0,1272,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,278,230,47,22,0,0,0,0,0,0,0,0,184,1,2,1272,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,2,0.29,2,0,0,0,0,0,0,0.0,1272,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,1272,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,306,229,304,2,0,0,306,0,0,,0,,196,1221,756,0,0,0,0,0,179,0,1577,eng ENG,GK,eng Premier League,31.0,1993.0,7,630,90,18.4,7.0,7,90.0,7,0,,16,0.14,9,17,-8,-1.14,-0.92,6.9,13.1,-6.2,-0.89,1272,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0,75.0,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,7.0,630.0,7.0,17.0,2.43,39.0,23.0,61.5,0.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,75.0,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,17.0,2.0,0.0,5.0,1.0,13.0,0.29,-3.0,-0.43,52.0,129.0,40.3,252.0,28.0,45.6,36.6,104.0,8.0,7.7,11.0,1.57,13.4
1295,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,22.0,2002.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1295,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1295,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,158,189,83.6,2843,1649,0,0.0,0.0,0.0,0,1,0,0,0,1295,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,189,169,20,2,0,0,0,0,0,0,0,0,158,0,0,1295,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,1,0.17,1,0,0,0,0,0,0,0.0,1295,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,1295,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,202,174,201,1,0,0,202,0,0,,0,,145,676,423,0,0,0,0,0,139,0,1604,dk DEN,GK,eng Premier League,22.0,2002.0,6,540,90,15.8,6.0,6,90.0,6,0,,31,1.5,12,9,3,0.5,-0.06,14.0,8.8,5.2,0.86,1295,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,,78.0,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,6.0,540.0,6.0,9.0,1.5,28.0,19.0,71.4,3.0,0.0,3.0,1.0,16.7,1.0,1.0,0.0,0.0,78.0,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,9.0,1.0,0.0,1.0,0.0,9.3,0.3,0.3,0.04,7.0,33.0,21.2,171.0,19.0,18.1,24.1,53.0,2.0,3.8,2.0,0.33,13.2
1339,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,25.0,1998.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1339,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1339,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,289,382,75.7,6252,3968,0,0.0,0.0,0.0,0,6,0,0,0,1339,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,382,344,38,20,0,0,0,0,0,0,0,0,289,0,1,1339,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,3,0.3,3,0,0,0,0,0,1,0.1,1339,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,1339,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,398,286,396,2,0,0,398,1,1,100.0,0,0.0,290,1131,616,0,0,0,1,0,275,0,1657,ie IRL,GK,eng Premier League,25.0,1998.0,10,900,90,26.3,10.0,10,90.0,10,0,,27,2.3,22,12,10,1.0,-0.25,19.8,11.1,8.7,0.87,1339,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,100.0,79.0,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,10.0,900.0,10.0,12.0,1.2,37.0,24.0,67.6,7.0,2.0,1.0,4.0,40.0,1.0,0.0,1.0,0.0,79.0,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,12.0,0.0,0.0,1.0,0.0,11.6,0.3,-0.4,-0.04,29.0,115.0,25.2,364.0,49.0,28.6,29.0,113.0,6.0,5.3,9.0,0.9,14.0
1361,Tom King,wls WAL,GK,Wolves,eng Premier League,29.0,1995.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1361,wls WAL,GK,eng Premier League,29.0,1995.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1361,wls WAL,GK,eng Premier League,29.0,1995.0,0.0,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1361,wls WAL,GK,eng Premier League,29.0,1995.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1361,wls WAL,GK,eng Premier League,29.0,1995.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,1361,wls WAL,GK,eng Premier League,29.0,1995.0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1361,wls WAL,GK,eng Premier League,29.0,1995.0,0.0,1,1,1,0,0,0,1,0,0,,0,,1,8,5,0,0,0,0,0,0,0,1681,wls WAL,GK,eng Premier League,29.0,1995.0,1,1,1,0.0,0.0,0,,0,1,1.0,2,1.0,0,0,0,0.0,0.39,0.0,0.1,-0.1,-8.46,1361,wls WAL,GK,eng Premier League,29.0,1995.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80.0,wls WAL,GK,eng Premier League,29.0,1995.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,80.0,wls WAL,GK,eng Premier League,29.0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,
1362,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,21.0,2003.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.0,0.01,1362,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1362,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,167,217,77.0,3990,2480,0,0.1,0.0,-0.1,1,2,0,0,1,1362,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,217,177,39,9,0,0,0,0,0,0,0,0,167,1,1,1362,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,1,0.17,1,0,0,0,0,0,0,0.0,1362,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,3,1,3,0,0,1,100.0,0,0,0,0,0,3,9,1,1362,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,237,205,234,3,0,0,237,0,0,,0,,144,760,491,1,0,0,0,0,126,0,1682,cz CZE,GK,eng Premier League,21.0,2003.0,6,540,90,15.8,6.0,6,90.0,6,0,,12,0.5,6,11,-5,-0.83,-0.96,5.0,11.6,-6.6,-1.09,1362,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,100.0,81.0,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,6.0,540.0,6.0,11.0,1.83,32.0,23.0,65.6,1.0,0.0,5.0,1.0,16.7,0.0,0.0,0.0,0.0,81.0,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,11.0,0.0,0.0,1.0,2.0,10.5,0.33,1.5,0.25,17.0,58.0,29.3,186.0,37.0,26.9,30.7,112.0,10.0,8.9,9.0,1.5,12.1
1477,Bernd Leno,de GER,GK,Fulham,eng Premier League,32.0,1992.0,38,38,3420,38.0,0,1,1,0,0,0,5,0,0.0,0.0,0.1,0.1,0,0,0,0.03,0.0,1477,de GER,GK,eng Premier League,32.0,1992.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,1477,de GER,GK,eng Premier League,32.0,1992.0,38.0,1149,1404,81.8,28206,16978,1,0.1,0.1,0.9,2,16,2,0,0,1477,de GER,GK,eng Premier League,32.0,1992.0,38.0,1404,1160,243,71,0,0,0,0,0,0,0,0,1149,1,1,1477,de GER,GK,eng Premier League,32.0,1992.0,38.0,6,0.16,6,0,0,0,0,0,2,0.05,1477,de GER,GK,eng Premier League,32.0,1992.0,38.0,2,2,2,0,0,2,100.0,0,1,0,1,0,2,11,5,1477,de GER,GK,eng Premier League,32.0,1992.0,38.0,1479,1190,1466,13,0,0,1479,0,0,,0,,955,3956,2233,0,0,0,0,0,862,0,1825,de GER,GK,eng Premier League,32.0,1992.0,38,3420,90,100.0,38.0,38,90.0,38,0,,0,1.42,54,54,0,0.0,,49.0,47.2,1.8,0.05,1477,de GER,GK,eng Premier League,32.0,1992.0,38.0,5,0,0,0,4,0,0,0,2,0,0,0,50,9,1,90.0,91.0,de GER,GK,eng Premier League,32.0,1992.0,38.0,38.0,3420.0,38.0,54.0,1.42,159.0,106.0,67.9,15.0,9.0,14.0,5.0,13.2,4.0,3.0,1.0,0.0,91.0,de GER,GK,eng Premier League,32.0,1992.0,38.0,54.0,3.0,0.0,6.0,2.0,48.9,0.29,-3.1,-0.08,141.0,367.0,38.4,1231.0,167.0,22.7,28.9,507.0,23.0,4.5,33.0,0.87,13.3
